name,code,country,lat,lon,elev,id,peak_name,peak_lon,peak_lat,summit_lon,summit_lat,min_lon,min_lat,max_lon,max_lat,min_height,max_height,bbox_width,bbox_height,bbox_depth
Pic de l’Escalette,Picdel’E,FR,42.92795,0.7518499999999999,1856.0m,122,Pic de l’Escalette,0.7518499999999999,42.92795,0.7519444444444444,42.92805555555556,0.7491666666666666,42.92527777777778,0.7547222222222222,42.93083333333333,1626,1848,21,21,212
Pic de l’Estelas,Picdel’E,FR,42.9908,0.9953833333333333,1247.0m,123,Pic de l’Estelas,0.9953833333333333,42.9908,0.995,42.99111111111111,0.9925,42.98833333333334,0.9977777777777778,42.993611111111115,1096,1258,20,20,152
Pic de Nord Nère,PicdeNor,FR,42.74333333333333,0.4627833333333333,2844.0m,124,Pic de Nord Nère,0.4627833333333333,42.74333333333333,0.4625,42.74277777777778,0.46,42.74055555555556,0.4652777777777778,42.745555555555555,2513,2842,20,19,319
Pic de Nère,PicdeNèr,FR,42.7349,0.45821666666666666,2694.0m,125,Pic de Nère,0.45821666666666666,42.7349,0.45805555555555555,42.73444444444445,0.45555555555555555,42.73222222222223,0.4608333333333333,42.73722222222222,2543,2779,20,19,226
Pic de Pale Bidau,PicdePal,FR,42.87361666666666,0.82185,1936.0m,126,Pic de Pale Bidau,0.82185,42.87361666666666,0.8225,42.87277777777778,0.8197222222222222,42.87083333333334,0.8247222222222222,42.87555555555556,1619,1904,19,18,275
Pic de Paloumère,PicdePal,FR,42.9611,0.84345,1608.0m,127,Pic de Paloumère,0.84345,42.9611,0.8433333333333334,42.96055555555556,0.8405555555555555,42.958333333333336,0.8461111111111111,42.96333333333334,1348,1605,21,19,247
Pic de Pessó,PicdePes,FR,42.69116666666667,0.6579333333333334,2622.0m,128,Pic de Pessó,0.6579333333333334,42.69116666666667,0.6572222222222222,42.69166666666667,0.6552777777777778,42.68888888888889,0.66,42.69388888888889,2308,2611,18,19,293
Pic de Pièle de Mil,PicdePiè,FR,42.85723333333333,0.8485666666666667,2128.0m,129,Pic de Pièle de Mil,0.8485666666666667,42.85723333333333,0.8475,42.85722222222223,0.8458333333333333,42.85444444444445,0.8502777777777778,42.86,1978,2129,17,21,141
Pic de Pouy Pradaus,PicdePou,FR,42.86756666666667,0.52575,1899.0m,130,Pic de Pouy Pradaus,0.52575,42.86756666666667,0.525,42.867222222222225,0.5230555555555556,42.86472222222223,0.5277777777777778,42.870000000000005,1738,1905,18,20,157
Pic de Sacroux,PicdeSac,FR,42.70551666666667,0.5971333333333334,2676.0m,131,Pic de Sacroux,0.5971333333333334,42.70551666666667,0.5969444444444445,42.70527777777778,0.5944444444444444,42.70277777777778,0.5997222222222223,42.70805555555556,2317,2664,20,20,337
Pic de Sajust,PicdeSaj,FR,42.70033333333333,0.6335,2535.0m,132,Pic de Sajust,0.6335,42.70033333333333,0.6333333333333333,42.7,0.6308333333333334,42.697500000000005,0.6361111111111111,42.70277777777778,2281,2508,20,20,217
Pic de Suberscale,PicdeSub,FR,42.745533333333334,0.5277833333333334,2436.0m,133,Pic de Suberscale,0.5277833333333334,42.745533333333334,0.528888888888889,42.74666666666667,0.5261111111111111,42.74388888888889,0.5305555555555556,42.748333333333335,2197,2443,17,17,236
Pic de Tucoulet,PicdeTuc,FR,42.88,0.6796000000000001,1553.0m,134,Pic de Tucoulet,0.6796000000000001,42.88,0.6805555555555556,42.87888888888889,0.6777777777777778,42.87722222222222,0.6825,42.88166666666667,1236,1590,18,17,344
Pic des Coupets,PicdesCo,FR,42.844483333333336,0.8384666666666667,2105.0m,135,Pic des Coupets,0.8384666666666667,42.844483333333336,0.8383333333333334,42.845,0.8355555555555555,42.842222222222226,0.8411111111111111,42.84722222222222,1844,2109,21,19,255
Pic des Crabioules,PicdesCr,FR,42.7027,0.52985,3107.0m,136,Pic des Crabioules,0.52985,42.7027,0.5308333333333333,42.70194444444444,0.5280555555555555,42.7,0.5325,42.70472222222222,2667,3019,17,18,342
Pic des Gourgs Blancs,PicdesGo,ES,42.70001666666667,0.4777166666666667,3129.0m,137,Pic des Gourgs Blancs,0.4777166666666667,42.70001666666667,0.47638888888888886,42.7,0.475,42.69722222222222,0.4791666666666667,42.70277777777778,2788,3071,16,21,273
